p,influenced,weight
http://dbpedia.org/resource/Al-Ma'arri,http://dbpedia.org/resource/Turan_Dursun,1
http://dbpedia.org/resource/Al-Ma'arri,http://dbpedia.org/resource/Taha_Hussein,1
http://dbpedia.org/resource/Al-Mutanabbi,http://dbpedia.org/resource/Abd_al-Wahhab_Al-Bayati,1
http://dbpedia.org/resource/Al-Mutanabbi,http://dbpedia.org/resource/Muhammad_Mahdi_al-Jawahiri,1
http://dbpedia.org/resource/Al-Mutanabbi,http://dbpedia.org/resource/Mohammed_Ridha_Al-Shabibi,1
http://dbpedia.org/resource/Al-Sijzi,http://dbpedia.org/resource/Al-Biruni,1
http://dbpedia.org/resource/Isaiah_Berlin,http://dbpedia.org/resource/John_Gray_(philosopher),1
http://dbpedia.org/resource/Isaiah_Berlin,http://dbpedia.org/resource/John_Rawls,1
http://dbpedia.org/resource/Isaiah_Berlin,http://dbpedia.org/resource/Joxe_Azurmendi,1
http://dbpedia.org/resource/Isaiah_Berlin,http://dbpedia.org/resource/Michael_Ignatieff,1
http://dbpedia.org/resource/Isaiah_Berlin,http://dbpedia.org/resource/Mark_Lilla,1
http://dbpedia.org/resource/Isaiah_Berlin,http://dbpedia.org/resource/William_Galston,1
http://dbpedia.org/resource/Isaiah_Berlin,http://dbpedia.org/resource/Stephen_Jay_Gould,1
http://dbpedia.org/resource/Kurt_Grelling,http://dbpedia.org/resource/Hans_Reichenbach,1
http://dbpedia.org/resource/Carlo_Michelstaedter,http://dbpedia.org/resource/Aldo_Capitini,1
http://dbpedia.org/resource/Carlo_Michelstaedter,http://dbpedia.org/resource/Claudio_Magris,1
http://dbpedia.org/resource/Carlo_Michelstaedter,http://dbpedia.org/resource/Julius_Evola,1
http://dbpedia.org/resource/Carneades,http://dbpedia.org/resource/Philo_of_Larissa,1
http://dbpedia.org/resource/Carneades,http://dbpedia.org/resource/Sextus_Empiricus,1
http://dbpedia.org/resource/Carneades,http://dbpedia.org/resource/Clitomachus_(philosopher),1
http://dbpedia.org/resource/Johann_Reuchlin,http://dbpedia.org/resource/Heinrich_Cornelius_Agrippa,1
http://dbpedia.org/resource/Johann_Reuchlin,http://dbpedia.org/resource/Philip_Melanchthon,1
http://dbpedia.org/resource/Ibn_Barrajan,http://dbpedia.org/resource/Ibn_Arabi,1
http://dbpedia.org/resource/Agrippa_the_Skeptic,http://dbpedia.org/resource/Sextus_Empiricus,1
http://dbpedia.org/resource/Alexius_Meinong,http://dbpedia.org/resource/Roderick_Chisholm,1
http://dbpedia.org/resource/Alexius_Meinong,http://dbpedia.org/resource/Graham_Priest,1
http://dbpedia.org/resource/Alexius_Meinong,http://dbpedia.org/resource/Terence_Parsons,1
http://dbpedia.org/resource/Alexius_Meinong,http://dbpedia.org/resource/Bertrand_Russell,1
http://dbpedia.org/resource/Alexius_Meinong,http://dbpedia.org/resource/William_J._Rapaport,1
http://dbpedia.org/resource/Alexius_Meinong,http://dbpedia.org/resource/Ernst_Mally,1
http://dbpedia.org/resource/Alexius_Meinong,http://dbpedia.org/resource/Dale_Jacquette,1
http://dbpedia.org/resource/Alexius_Meinong,http://dbpedia.org/resource/Panayot_Butchvarov,1
http://dbpedia.org/resource/Alexius_Meinong,http://dbpedia.org/resource/Edward_N._Zalta,1
http://dbpedia.org/resource/Alexius_Meinong,http://dbpedia.org/resource/Richard_Hönigswald,1
http://dbpedia.org/resource/Alexius_Meinong,http://dbpedia.org/resource/George_Stout,1
http://dbpedia.org/resource/Alexius_Meinong,http://dbpedia.org/resource/Héctor-Neri_Castañeda,1
http://dbpedia.org/resource/Alexius_Meinong,http://dbpedia.org/resource/Richard_Sylvan,1
http://dbpedia.org/resource/Alfred_North_Whitehead,http://dbpedia.org/resource/Susanne_Langer,1
http://dbpedia.org/resource/Alfred_North_Whitehead,http://dbpedia.org/resource/Eric_Voegelin,1
http://dbpedia.org/resource/Alfred_North_Whitehead,http://dbpedia.org/resource/Wolfgang_Smith,1
http://dbpedia.org/resource/Alfred_North_Whitehead,http://dbpedia.org/resource/C._D._Broad,1
http://dbpedia.org/resource/Alfred_North_Whitehead,http://dbpedia.org/resource/C._H._Waddington,1
http://dbpedia.org/resource/Alfred_North_Whitehead,http://dbpedia.org/resource/Maurice_Merleau-Ponty,1
http://dbpedia.org/resource/Alfred_North_Whitehead,http://dbpedia.org/resource/David_Bohm,1
http://dbpedia.org/resource/Alfred_North_Whitehead,http://dbpedia.org/resource/Michel_Weber,1
http://dbpedia.org/resource/Alfred_North_Whitehead,http://dbpedia.org/resource/Bertrand_Russell,1
