Philosopher A,Philosopher B,Weight
Al-Ma'arri,Turan_Dursun,1
Al-Ma'arri,Taha_Hussein,1
Al-Mutanabbi,Abd_al-Wahhab_Al-Bayati,1
Al-Mutanabbi,Muhammad_Mahdi_al-Jawahiri,1
Al-Mutanabbi,Mohammed_Ridha_Al-Shabibi,1
Al-Sijzi,Al-Biruni,1
Isaiah_Berlin,John_Gray_(philosopher),1
Isaiah_Berlin,John_Rawls,1
Isaiah_Berlin,Joxe_Azurmendi,1
Isaiah_Berlin,Michael_Ignatieff,1
Isaiah_Berlin,Mark_Lilla,1
Isaiah_Berlin,William_Galston,1
Isaiah_Berlin,Stephen_Jay_Gould,1
Kurt_Grelling,Hans_Reichenbach,1
Carlo_Michelstaedter,Aldo_Capitini,1
Carlo_Michelstaedter,Claudio_Magris,1
Carlo_Michelstaedter,Julius_Evola,1
Carneades,Philo_of_Larissa,1
Carneades,Sextus_Empiricus,1
Carneades,Clitomachus_(philosopher),1
Johann_Reuchlin,Heinrich_Cornelius_Agrippa,1
Johann_Reuchlin,Philip_Melanchthon,1
Ibn_Barrajan,Ibn_Arabi,1
Agrippa_the_Skeptic,Sextus_Empiricus,1
Alexius_Meinong,Roderick_Chisholm,1
Alexius_Meinong,Graham_Priest,1
Alexius_Meinong,Terence_Parsons,1
Alexius_Meinong,Bertrand_Russell,1
Alexius_Meinong,William_J._Rapaport,1
Alexius_Meinong,Ernst_Mally,1
Alexius_Meinong,Dale_Jacquette,1
Alexius_Meinong,Panayot_Butchvarov,1
Alexius_Meinong,Edward_N._Zalta,1
Alexius_Meinong,Richard_Hönigswald,1
Alexius_Meinong,George_Stout,1
Alexius_Meinong,Héctor-Neri_Castañeda,1
Alexius_Meinong,Richard_Sylvan,1
Alfred_North_Whitehead,Susanne_Langer,1
Alfred_North_Whitehead,Eric_Voegelin,1
Alfred_North_Whitehead,Wolfgang_Smith,1
Alfred_North_Whitehead,C._D._Broad,1
Alfred_North_Whitehead,C._H._Waddington,1
Alfred_North_Whitehead,Maurice_Merleau-Ponty,1
Alfred_North_Whitehead,David_Bohm,1
Alfred_North_Whitehead,Michel_Weber,1
Alfred_North_Whitehead,Bertrand_Russell,1
Alfred_North_Whitehead,Milič_Čapek,1
Alfred_North_Whitehead,Jules_Vuillemin,1
Alfred_North_Whitehead,B._F._Skinner,1
Alfred_North_Whitehead,Ervin_László,1
Alfred_North_Whitehead,John_Lighton_Synge,1
Alfred_North_Whitehead,Donald_Davidson_(philosopher),1
